ISO-alpha3 Code,Climate mentions,Climate per 1000 words,Country or Area,Country group,Talk group,CO2 start,CO2 end,CO2 change (%),CO2 change check (%),Low-carbon share start,Low-carbon share end,Low-carbon share change (pp),Low-carbon share change check (pp)
CRI,2,0.303951367781155,Costa Rica,Non-Annex I (developing),Mentioned climate,1.324,1.805,36.32930513595165,16.842900302114792,99.12537447255264,91.98219023262644,-7.1431842399261996,-7.335089839070122
CUB,1,0.11284134506883323,Cuba,Non-Annex I (developing),Mentioned climate,2.257,2.279,0.9747452370403087,15.551617190961453,6.85298135029979,3.0096816682850855,-3.8432996820147043,-3.1090745134456896
CYP,1,0.169548999660902,Cyprus,Annex I (developed),Mentioned climate,7.022,7.9,12.50356023924808,-11.26459698091712,0.0,0.0,0.0,5.508479911982441
CZE,1,0.2000800320128051,Czechia,Annex I (developed),Mentioned climate,12.737,12.417,-2.512365549187412,-16.85640260657926,21.76954963658627,33.71311060766759,11.943560971081318,22.57094736855514
DEU,12,1.5463147104468975,Germany,Annex I (developed),Mentioned climate,11.306,10.408,-7.94268529984079,-11.011852113921805,36.034811022407375,36.43954904108043,0.4047380186730578,3.148168558740224
DJI,1,0.14727540500736377,Djibouti,Non-Annex I (developing),Mentioned climate,0.496,0.52,4.8387096774193505,-38.91129032258065,0.0,0.0,0.0,0.0
DMA,3,1.2057877813504823,Dominica,Non-Annex I (developing),Mentioned climate,1.163,2.501,115.04729148753223,105.07308684436798,37.50003212203289,16.666666666666664,-20.833365455366227,-17.500022903633337
DNK,0,0.0,Denmark,Annex I (developed),Did not mention,12.382,10.017,-19.10030689710871,-42.43256339848166,15.53696265307022,26.315790942528547,10.778828289458328,33.007356947429145
DOM,0,0.0,Dominican Republic,Non-Annex I (developing),Did not mention,2.108,2.106,-0.09487666034156961,-1.5180265654648917,6.994634383231194,12.765985063042061,5.771350679810867,5.13556111380608
DZA,0,0.0,Algeria,Non-Annex I (developing),Did not mention,2.959,3.146,6.31970260223047,21.730314295370047,0.196860213431512,0.5915805266583561,0.39472031322684414,0.883269698605027
ECU,0,0.0,Ecuador,Non-Annex I (developing),Did not mention,1.618,2.4,48.33127317676143,48.825710754017294,71.5099814662621,52.00000664523026,-19.509974821031847,-18.10036972977405
EGY,2,0.2144542140253056,Egypt,Non-Annex I (developing),Mentioned climate,1.621,2.245,38.49475632325725,40.71560764959903,19.449004673861364,12.414465191235161,-7.034539482626203,-10.317351564089986
ERI,0,0.0,Eritrea,Non-Annex I (developing),Did not mention,0.357,0.155,-56.582633053221286,-43.977591036414566,0.0,0.0,0.0,0.0
ESP,0,0.0,Spain,Annex I (developed),Did not mention,6.553,8.051,22.859758889058448,-9.949641385624908,43.77150139926204,37.567079385169905,-6.204422014092138,6.726881631082094
EST,0,0.0,Estonia,Annex I (developed),Did not mention,13.136,14.866,13.169914738124234,2.2305115712545787,0.11750568814207057,1.1494213651566443,1.0319156770145737,12.173469167575675
ETH,1,0.18031013342949873,Ethiopia,Non-Annex I (developing),Mentioned climate,0.049,0.07,42.85714285714286,69.38775510204083,98.81531711208616,98.83461743470465,0.01930032261849135,0.9201928853828178
FIN,0,0.0,Finland,Annex I (developed),Did not mention,12.199,12.624,3.48389212230511,-22.542831379621276,65.54237582916613,58.81483529793963,-6.727540531226502,7.6716592990227355
FJI,8,0.8686210640608035,Fiji,Non-Annex I (developing),Mentioned climate,0.941,1.208,28.3740701381509,5.526036131774714,71.9999596361875,68.53929070430208,-3.4606689318854222,-5.720928217199926
FRA,0,0.0,France,Annex I (developed),Did not mention,6.762,6.35,-6.09287193138125,-17.33215025140491,90.69213154238817,89.71059324595342,-0.9815382964347492,-0.7206699377371706
FSM,19,5.862388151804998,Micronesia (Federated States of),Non-Annex I (developing),Mentioned climate,1.748,1.167,-33.23798627002288,-32.03661327231122,,,,
GAB,2,0.26253609871357314,Gabon,Non-Annex I (developing),Mentioned climate,4.678,3.237,-30.8037622915776,-41.941000427533126,61.832061812003104,46.24279900544414,-15.589262806558963,-19.702438911883313
GBR,10,2.4180879988593285,United Kingdom of Great Britain and Northern Ireland,Annex I (developed),Mentioned climate,9.628,9.093,-5.556709597008725,-20.835064395513093,25.186968167209972,20.843736372664626,-4.343231794545346,5.497068218216523
GEO,0,0.0,Georgia,Non-Annex I (developing),Did not mention,0.94,1.666,77.23404255319149,129.78723404255322,78.80432577262111,79.41175097719429,0.6074252045731754,-4.480008459268674
GHA,0,0.0,Ghana,Non-Annex I (developing),Did not mention,0.302,0.38,25.82781456953642,56.62251655629138,91.3528480579307,53.16079459760587,-38.19205346032483,-25.426894423823427
GIN,1,0.17464198393293748,Guinea,Non-Annex I (developing),Mentioned climate,0.156,0.199,27.564102564102576,40.38461538461537,50.61759227463345,67.9483685553601,17.330776280726653,16.50538797671304
GMB,2,0.23568230025925052,Gambia,Non-Annex I (developing),Mentioned climate,0.167,0.197,17.964071856287433,32.335329341317355,0.0,0.0,0.0,0.0
GNB,1,0.2796420581655481,Guinea-Bissau,Non-Annex I (developing),Mentioned climate,0.101,0.058,-42.57425742574258,-31.68316831683168,0.0,0.0,0.0,0.0
GNQ,0,0.0,Equatorial Guinea,Non-Annex I (developing),Did not mention,3.201,5.513,72.22742892845986,66.04186191815057,20.0,7.692307692307692,-12.307692307692308,-5.18525615843785
GRC,0,0.0,Greece,Annex I (developed),Did not mention,8.831,10.37,17.427244932623708,-6.329973955384438,7.8201821072173825,7.3557708136920406,-0.46441129352534194,9.088516702458788
GRD,0,0.0,Grenada,Non-Annex I (developing),Did not mention,1.6,2.155,34.687499999999986,48.187499999999986,0.0,0.0,0.0,0.0
GTM,0,0.0,Guatemala,Non-Annex I (developing),Did not mention,0.687,0.888,29.257641921397372,9.461426491994175,50.15482118605704,50.917442683316324,0.762621497259282,16.511899218654925
GUY,4,0.8314654428360613,Guyana,Non-Annex I (developing),Mentioned climate,2.37,2.353,-0.7172995780590719,10.632911392405052,1.1111366056412597,1.4285467142993071,0.3174101086580474,3.0555268218937943
HND,0,0.0,Honduras,Non-Annex I (developing),Did not mention,0.661,1.049,58.69894099848712,58.093797276853245,61.81326326670016,37.519867269203374,-24.293395997496788,-15.38466801775342
HRV,0,0.0,Croatia,Annex I (developed),Did not mention,4.122,5.747,39.42261038330908,8.515283842794762,57.53790166502975,37.799053930895106,-19.738847734134644,-7.774416072482481
HTI,0,0.0,Haiti,Non-Annex I (developing),Did not mention,0.172,0.188,9.302325581395365,30.813953488372103,51.85207964941955,32.60860705843997,-19.24347259097958,-31.85171347647607
HUN,0,0.0,Hungary,Annex I (developed),Did not mention,6.0,5.825,-2.9166666666666674,-21.48333333333333,40.97755606928448,41.44143759571739,0.4638815264329068,12.257562055070842
IDN,0,0.0,Indonesia,Non-Annex I (developing),Did not mention,1.354,1.635,20.7533234859675,50.73855243722303,19.991845280731717,16.367995961635536,-3.6238493190961805,-5.103839998441176
IND,2,0.3142677561282212,India,Non-Annex I (developing),Mentioned climate,0.859,1.17,36.20488940628637,75.43655413271244,16.80818209758825,20.04124136817267,3.2330592705844197,1.1049273737636724
IRL,0,0.0,Ireland,Annex I (developed),Did not mention,10.567,10.847,2.6497586826913944,-21.368411091132778,5.0359757381012615,10.014106972556316,4.978131234455055,14.551655048587818
IRN,1,0.13368983957219252,Iran (Islamic Republic of),Non-Annex I (developing),Mentioned climate,4.231,6.806,60.860316709997655,78.44481210115812,3.2006722558133713,8.910996910410727,5.710324654597356,2.528215040459301
IRQ,0,0.0,Iraq,Non-Annex I (developing),Did not mention,3.44,2.161,-37.18023255813954,15.784883720930232,1.9121974076804873,17.268323015319858,15.35612560763937,7.627143726769944
ISL,12,3.374165232402955,Iceland,Annex I (developed),Mentioned climate,9.655,11.212,16.126359399275003,12.957017089590895,100.0,100.0,0.0,0.0
ISR,2,0.351000351000351,Israel,Non-Annex I (developing),Mentioned climate,9.717,9.02,-7.17299578059073,1.1629103632808446,0.07032313545204281,0.03718745805408762,-0.03313567739795519,0.7073343055275874
ITA,0,0.0,Italy,Annex I (developed),Did not mention,7.844,8.286,5.634880163182032,-15.03059663437022,18.84491928234281,15.5861150007037,-3.2588042816391116,12.389632622437055
JAM,2,0.3453602264305931,Jamaica,Non-Annex I (developing),Mentioned climate,3.952,3.961,0.22773279352226172,-28.011133603238857,4.579028524697895,4.950504360676661,0.37147583597876643,5.629765942785838
JOR,0,0.0,Jordan,Non-Annex I (developing),Did not mention,2.835,3.178,12.098765432098757,11.887125220458561,0.5427147578943984,0.5455934799104744,0.002878722016075974,-0.12078058346719484
JPN,4,0.8795074758135444,Japan,Annex I (developed),Mentioned climate,9.828,10.141,3.184778184778181,3.5612535612535856,38.206915273032855,32.26563386965232,-5.941281403380536,-26.52362421724083
KAZ,3,0.7283725258599091,Kazakhstan,Non-Annex I (developing),Mentioned climate,9.181,13.884,51.225356714954806,54.36226990523909,14.581726764474128,10.663008687700044,-3.918718076774084,-6.150924780095469
KEN,0,0.0,Kenya,Non-Annex I (developing),Did not mention,0.293,0.256,-12.627986348122855,-12.627986348122855,40.371270938202095,74.06292234786923,33.69165140966714,37.10717444333479
KGZ,0,0.0,Kyrgyzstan,Non-Annex I (developing),Did not mention,1.147,1.228,7.061900610287708,54.402789886660855,85.48895338975663,85.78231137608105,0.29335798632442334,7.924229794928934
KNA,1,0.1867762420620097,Saint Kitts and Nevis,Non-Annex I (developing),Mentioned climate,3.204,4.626,44.38202247191012,48.2521847690387,0.0,0.0,0.0,4.545459406611068
KOR,6,1.0800022089161323,Republic of Korea,Non-Annex I (developing),Mentioned climate,9.686,10.829,11.800536857319855,30.70410902333265,38.93269288208056,34.6489252137783,-4.283767668302261,-9.095148986065908
KWT,0,0.0,Kuwait,Non-Annex I (developing),Did not mention,31.753,30.821,-2.93515573331653,-4.490914244323363,0.0,0.0,0.0,0.0
LAO,1,0.3223726627981947,Lao People's Democratic Republic,Non-Annex I (developing),Mentioned climate,0.154,0.303,96.75324675324674,231.81818181818184,89.86298475392907,100.0,10.13701524607093,10.13701524607093
LBN,1,0.20202020202020202,Lebanon,Non-Annex I (developing),Mentioned climate,3.675,2.838,-22.775510204081627,16.054421768707485,4.422110727682442,5.487237325660957,1.065126597978515,1.6532267009384265
LBR,1,0.10888501742160278,Liberia,Non-Annex I (developing),Mentioned climate,0.185,0.171,-7.567567567567557,12.972972972972974,0.0,0.0,0.0,0.0
LBY,1,0.08364001338240214,Libya,Non-Annex I (developing),Mentioned climate,10.224,7.272,-28.873239436619713,-2.484350547730829,0.0,0.0,0.0,0.029157634497698474
LCA,1,0.1561036528254761,Saint Lucia,Non-Annex I (developing),Mentioned climate,1.921,2.512,30.765226444560124,46.954711087975,0.0,0.0,0.0,0.0
LIE,0,0.0,Liechtenstein,Annex I (developed),Did not mention,6.84,5.694,-16.754385964912277,-26.038011695906427,,,,
LKA,0,0.0,Sri Lanka,Non-Annex I (developing),Did not mention,0.406,0.578,42.364532019704406,79.06403940886698,47.34507230623011,40.18215117593497,-7.162921130295139,-17.938320315759963
LSO,1,0.18580453363062058,Lesotho,Non-Annex I (developing),Mentioned climate,0.89,1.062,19.325842696629223,54.15730337078652,100.0,100.0,0.0,0.0
LTU,9,2.2815093153119053,Lithuania,Annex I (developed),Mentioned climate,4.243,4.789,12.868253594155066,10.84138581192553,78.70618827108078,77.34026407029711,-1.3659242007836667,-52.48395985083343
LUX,11,1.4481195527481283,Luxembourg,Annex I (developed),Mentioned climate,20.402,23.533,15.346534653465337,0.23527105185765507,40.000021807111736,8.15046672688949,-31.849555080222245,-28.768138585547433
LVA,0,0.0,Latvia,Annex I (developed),Did not mention,3.567,3.925,10.036445192038123,3.61648444070648,68.1159378836365,59.243691845344735,-8.87224603829177,-1.5033084144794202
MAR,0,0.0,Morocco,Non-Annex I (developing),Did not mention,1.102,1.568,42.286751361161514,54.90018148820326,5.620378592353464,8.176741150905023,2.5563625585515597,3.998659679969122
MCO,2,0.29691211401425177,Monaco,Annex I (developed),Mentioned climate,,,,,,,,
MDA,1,0.22532672374943669,Republic of Moldova,Non-Annex I (developing),Mentioned climate,1.676,1.293,-22.852028639618137,-18.377088305489252,7.1559339313577395,5.962514811806404,-1.1934191195513355,-2.508752403077115
MDG,6,1.099807616825454,Madagascar,Non-Annex I (developing),Mentioned climate,0.102,0.085,-16.66666666666665,10.784313725490202,63.95360003072845,64.28649178186568,0.33289175113722536,-14.59505952026808
MDV,27,5.1184383330933585,Maldives,Non-Annex I (developing),Mentioned climate,1.232,2.405,95.21103896103895,132.95454545454547,0.0,0.0,0.0,0.0
MEX,1,0.21616947686986598,Mexico,Non-Annex I (developing),Mentioned climate,3.855,4.354,12.944228274967573,11.36186770428016,23.416176776162864,17.575777608832183,-5.8403991673306805,-5.929074903618826
MHL,11,5.137786081270434,Marshall Islands,Non-Annex I (developing),Mentioned climate,1.859,2.464,32.54437869822484,41.79666487358795,,,,
MKD,0,0.0,North Macedonia,Non-Annex I (developing),Did not mention,4.169,4.329,3.8378508035500136,0.04797313504438794,17.180607557523057,15.538462031235989,-1.6421455262870683,-0.5671760939473671
MLI,1,0.1874062968515742,Mali,Non-Annex I (developing),Mentioned climate,0.068,0.123,80.88235294117645,111.7647058823529,26.415197217042344,32.91149665092786,6.496299433885515,30.727659925814795
MLT,1,0.1506931886678722,Malta,Annex I (developed),Mentioned climate,6.543,6.538,-0.07641754546843238,-1.5130674002751032,0.0,0.0,0.0,1.304350648688202
MMR,1,0.19004180919802358,Myanmar,Non-Annex I (developing),Mentioned climate,0.17,0.267,57.05882352941176,39.41176470588235,36.66678507361953,56.5626715393234,19.895886465703867,34.65926615713321
MNG,3,0.7806888354907888,Mongolia,Non-Annex I (developing),Mentioned climate,3.187,4.585,43.865704424223416,292.8145591465328,0.0,0.0,0.0,1.2473810693083118
MOZ,0,0.0,Mozambique,Non-Annex I (developing),Did not mention,0.069,0.103,49.27536231884056,81.15942028985505,99.89542780824641,99.93711381863623,0.041686010389824446,-0.6302772291460457
MRT,4,0.8943738685901712,Mauritania,Non-Annex I (developing),Mentioned climate,0.447,0.568,27.069351230425042,51.23042505592841,7.142812696397792,7.812424485535054,0.6696117891372619,7.440394975958801
MUS,9,1.7010665262817477,Mauritius,Non-Annex I (developing),Mentioned climate,1.686,2.903,72.18268090154211,82.38434163701069,29.378500394546194,22.35772966093954,-7.020770733606653,-8.948378459048307
MWI,2,0.37721614485099964,Malawi,Non-Annex I (developing),Mentioned climate,0.087,0.068,-21.8390804597701,-24.13793103448275,90.08220407934236,90.50601912716212,0.4238150478197582,3.5764596037670913
MYS,0,0.0,Malaysia,Non-Annex I (developing),Did not mention,5.542,6.499,17.26813424756406,29.556116925297715,10.815442915775801,6.19069932637121,-4.624743589404591,-2.7903932159217693
NAM,0,0.0,Namibia,Non-Annex I (developing),Did not mention,1.074,1.153,7.355679702048423,35.47486033519554,97.22226432060782,98.08913757900855,0.8668732584007302,-0.21632429905554318
NER,4,0.8508237830359286,Niger,Non-Annex I (developing),Mentioned climate,0.062,0.048,-22.580645161290324,67.74193548387095,0.0,0.0,0.0,0.0
NGA,1,0.21132713440405748,Nigeria,Non-Annex I (developing),Mentioned climate,0.819,0.536,-34.554334554334545,-23.68742368742368,38.26288262025208,27.142180947872987,-11.120701672379091,-18.464586991535263
NIC,3,0.8860011813349085,Nicaragua,Non-Annex I (developing),Mentioned climate,0.646,0.826,27.86377708978327,18.885448916408663,21.491149808897557,28.750064420813935,7.258914611916378,21.188766196620062
NLD,0,0.0,Netherlands (Kingdom of the),Annex I (developed),Did not mention,11.159,10.467,-6.201272515458378,-12.187471995698552,7.835565317166862,11.371528940404826,3.535963623237963,8.180857983755194
NOR,2,0.49234496087021284,Norway,Annex I (developed),Mentioned climate,9.454,9.685,2.443410196742124,-6.716733657711016,99.71232252547145,99.14040285120589,-0.5719196742655583,-1.4841097893319954
NPL,0,0.0,Nepal,Non-Annex I (developing),Did not mention,0.114,0.096,-15.789473684210531,74.56140350877195,98.1820616194826,99.63927196766019,1.4572103481775969,1.2516401457142479
NZL,2,0.36913990402362495,New Zealand,Annex I (developed),Mentioned climate,8.277,8.615,4.083605170955673,-1.6310257339615775,71.75533589216235,65.49100817375026,-6.2643277184120905,-0.029620917289264526
OMN,2,0.26274921202803525,Oman,Non-Annex I (developing),Mentioned climate,8.282,17.629,112.85921275054336,114.8152620140063,0.0,0.0,0.0,0.0
PAK,1,0.18076644974692696,Pakistan,Non-Annex I (developing),Mentioned climate,0.658,0.804,22.188449848024327,10.182370820668684,26.42515892038956,33.56218267780596,7.137023757416397,10.659453370302455
PAN,0,0.0,Panama,Non-Annex I (developing),Did not mention,1.612,2.075,28.72208436724566,57.4441687344913,70.34765858502408,57.73994055163739,-12.60771803338669,-7.3975951884338755
PER,0,0.0,Peru,Non-Annex I (developing),Did not mention,1.098,1.212,10.382513661202175,40.25500910746811,81.97789079993964,66.72233629411866,-15.255554505820982,-26.72264553790579
PHL,5,0.9631235982085371,Philippines,Non-Annex I (developing),Mentioned climate,0.936,0.769,-17.841880341880344,-6.730769230769241,42.89189578741251,31.600124651708462,-11.291771135704046,-14.438012389004268
PNG,25,3.7909737426829366,Papua New Guinea,Non-Annex I (developing),Mentioned climate,0.523,0.945,80.68833652007648,3.441682600382423,42.39635216787784,37.313392504520976,-5.082959663356867,-5.667172050275134
POL,5,0.8175880105017816,Poland,Annex I (developed),Mentioned climate,9.575,8.83,-7.780678851174927,-11.039164490861609,1.627317515293343,3.425435062968015,1.798117547674672,8.825993584948606
PRK,0,0.0,Democratic People's Republic of Korea,Non-Annex I (developing),Did not mention,2.755,2.576,-6.497277676950997,-32.70417422867513,52.33158270990621,61.477330862934345,9.145748153028137,10.215202382601689
PRT,2,0.47687172150691465,Portugal,Annex I (developed),Mentioned climate,5.407,5.915,9.395228407619749,-12.169410024042914,29.78476206930936,34.70349451840692,4.918732449097561,12.842888083251694
PRY,0,0.0,Paraguay,Non-Annex I (developing),Did not mention,0.853,0.727,-14.771395076201642,2.579132473622514,100.0,100.0,0.0,0.0
PSE,0,0.0,State of Palestine,Non-Annex I (developing),Did not mention,0.302,0.623,106.29139072847681,72.51655629139073,0.0,0.0,0.0,0.0
QAT,1,0.13365410318096765,Qatar,Non-Annex I (developing),Mentioned climate,76.715,49.255,-35.794825001629405,-35.92908818353647,0.0,0.0,0.0,0.028738353404146738
ROU,0,0.0,Romania,Annex I (developed),Did not mention,5.27,5.199,-1.3472485768500908,-15.426944971536994,39.255224443477154,38.53151694406134,-0.7237074994158164,5.8421294413290354
RUS,1,0.20177562550443906,Russian Federation,Annex I (developed),Mentioned climate,10.023,11.291,12.650902923276464,17.549635837573586,33.593469239844204,33.13929374409793,-0.45417549574627714,-1.6567199472853886
RWA,0,0.0,Rwanda,Non-Annex I (developing),Did not mention,0.062,0.057,-8.064516129032251,6.451612903225823,62.49807484983828,48.00030558844876,-14.497769261389521,-16.34401509197979
SAU,2,0.5685048322910745,Saudi Arabia,Non-Annex I (developing),Mentioned climate,15.802,18.925,19.76332109859513,41.64029869636756,0.0,0.0,0.0,0.010656624903715616
SDN,0,0.0,Sudan,Non-Annex I (developing),Did not mention,0.195,0.414,112.3076923076923,118.97435897435895,49.99999999999999,30.81401993777383,-19.185980062226164,20.31571255893133
SEN,1,0.1447596988998263,Senegal,Non-Annex I (developing),Mentioned climate,0.343,0.441,28.57142857142856,61.224489795918366,3.3557675582375532,7.857124841310544,4.50135728307299,6.036582956164982
SGP,0,0.0,Singapore,Non-Annex I (developing),Did not mention,14.944,8.942,-40.16327623126339,-41.722430406852254,1.5472071464839356,2.4070074458414665,0.8598002993575309,1.158375720308024
SLB,11,2.762637060243004,Solomon Islands,Non-Annex I (developing),Mentioned climate,0.504,0.601,19.246031746031743,19.047619047619047,0.0,0.0,0.0,0.0
SLE,0,0.0,Sierra Leone,Non-Annex I (developing),Did not mention,0.048,0.085,77.08333333333334,164.58333333333334,11.112749434778335,33.336527405136074,22.223777970357737,55.55391723188832
SLV,0,0.0,El Salvador,Non-Annex I (developing),Did not mention,0.924,1.135,22.835497835497833,13.961038961038952,,,,
SMR,0,0.0,San Marino,Non-Annex I (developing),Did not mention,,,,,,,,
STP,0,0.0,Sao Tome and Principe,Non-Annex I (developing),Did not mention,0.343,0.475,38.48396501457725,69.09620991253642,33.33317330081473,19.999864232813568,-13.33330906800116,-20.833143698971362
SUR,1,0.2730748225013654,Suriname,Non-Annex I (developing),Mentioned climate,4.698,3.311,-29.523201362281824,-5.661983822903361,73.95834005686994,57.33332861310147,-16.62501144376847,-24.856542640971142
