ISO-alpha3 Code,Climate mentions,Climate per 1000 words,Country or Area,Country group,Talk group,Mentioned climate,CO2 start,CO2 end,CO2 change (%),CO2 change check (%),Low-carbon share start,Low-carbon share end,Low-carbon share change (pp),Low-carbon share change check (pp)
BEN,6,4.800423658415019,Benin,Non-Annex I (developing),High third,True,0.468,0.419,-10.470085470085477,-11.538461538461553,0.0,3.9607646595546644,3.9607646595546644,1.8524192217953854
BFA,9,2.8407435078181713,Burkina Faso,Non-Annex I (developing),Middle third,True,0.199,0.276,38.69346733668342,34.673366834170864,9.901836840931061,17.159936460162193,7.258099619231132,6.347770118507153
BGD,10,2.9845353672592694,Bangladesh,Non-Annex I (developing),Middle third,True,0.483,0.624,29.19254658385093,19.047619047619047,1.3492080560006023,1.8871111095947197,0.5379030535941174,0.048997683308432904
BGR,7,1.7310754052919566,Bulgaria,Annex I (developed),Middle third,True,6.705,4.679,-30.216256524981354,-9.783743475018635,49.53808835254729,71.12271621549854,21.58462786295125,5.471060964401033
BHR,5,0.750948066702826,Bahrain,Non-Annex I (developing),Low third,True,23.744,24.27,2.2152964959568644,6.63325471698113,0.035099540682055085,0.26350263068576535,0.22840309000371026,0.02530564249726866
BHS,10,2.41681862483961,Bahamas,Non-Annex I (developing),Middle third,True,5.79,7.65,32.12435233160622,10.310880829015545,0.0,0.8888842914848487,0.8888842914848487,0.0
BIH,16,3.4810253530166877,Bosnia and Herzegovina,Non-Annex I (developing),High third,True,5.247,6.139,17.000190585096252,18.543929864684582,33.779664802746474,40.3486115066147,6.568946703868228,2.902305143162309
BLR,2,0.5081636104796988,Belarus,Annex I (developed),Low third,True,6.201,6.163,-0.6128043863892874,6.257055313659099,0.9973483452761696,37.31995319455096,36.32260484927479,1.573091376381376
BLZ,23,5.07976546552095,Belize,Non-Annex I (developing),High third,True,1.923,1.909,-0.7280291211648526,3.692147685907443,91.66666666666667,87.23406898632518,-4.4325976803414875,-5.128225104756083
BOL,6,1.096476582032566,Bolivia (Plurinational State of),Non-Annex I (developing),Low third,True,1.807,2.313,28.002213613724415,7.194244604316546,29.444405688976353,33.99852655008124,4.5541208611048845,6.717634068006781
BRA,18,3.6336937165819236,Brazil,Non-Annex I (developing),High third,True,2.619,2.278,-13.02023673157694,-12.256586483390608,76.74201132841723,89.44911133279187,12.707100004374638,7.190538234302707
BRB,12,3.3787281513442435,Barbados,Non-Annex I (developing),High third,True,4.784,4.833,1.0242474916388078,3.4698996655518455,0.9615273696745718,9.00900029698155,8.047472927306979,2.812047024172209
BRN,1,0.7057163020465773,Brunei Darussalam,Non-Annex I (developing),Low third,True,16.421,26.046,58.61396991657024,31.569331952987035,0.0,0.17985868971059485,0.17985868971059485,0.0
BTN,21,5.583210422812193,Bhutan,Non-Annex I (developing),High third,True,1.936,2.094,8.161157024793386,5.681818181818166,100.0,100.0,0.0,0.0
BWA,11,2.17464296177796,Botswana,Non-Annex I (developing),Middle third,True,2.459,2.96,20.37413582757217,30.540870272468478,0.0,0.2915121882377846,0.2915121882377846,0.39840526400388004
CAF,7,1.483466907276684,Central African Republic,Non-Annex I (developing),Middle third,True,0.042,0.074,76.19047619047616,50.0,100.0,,,0.0
CAN,14,3.450810284343521,Canada,Annex I (developed),High third,True,15.655,13.42,-14.276588949217494,-2.1079527307569457,79.13414613381762,77.6943722822144,-1.4397738516032206,1.5734912855428718
CHE,8,2.9023091105362173,Switzerland,Annex I (developed),High third,True,4.678,3.595,-23.15091919623771,-8.230012825994015,97.1848018342778,98.09876564292158,0.9139638086437714,0.12283741376363366
CHL,6,2.311253561253561,Chile,Non-Annex I (developing),Middle third,True,4.531,3.983,-12.094460384021177,5.738247627455317,43.19850492075641,70.04062461318522,26.842119692428803,3.0148772230502345
CHN,10,2.2563321423401286,China,Non-Annex I (developing),Middle third,True,7.061,8.658,22.61719303214842,6.585469480243589,26.915783144911657,38.165222376096025,11.249439231184368,4.581011224622383
CIV,10,3.420901079901472,Côte d’Ivoire,Non-Annex I (developing),High third,True,0.378,0.464,22.751322751322768,-1.0582010582010581,16.55175215609801,28.91571613758649,12.363963981488478,16.562596125345387
CMR,3,3.271537622682661,Cameroon,Non-Annex I (developing),Middle third,True,0.433,0.331,-23.556581986143186,-12.93302540415704,54.899566465723346,73.14035165134928,18.24078518562593,6.573873902944797
COD,13,2.8209457103645628,Democratic Republic of the Congo,Non-Annex I (developing),Middle third,True,0.04,0.054,34.999999999999986,9.999999999999986,99.88724699325314,100.0,0.11275300674685695,0.027610392868595568
COG,3,1.2077212933504817,Congo,Non-Annex I (developing),Low third,True,1.106,1.396,26.220614828209744,17.45027124773959,40.14339013151403,20.879076268188435,-19.264313863325597,-12.379930733867827
COL,7,2.280794619504297,Colombia,Non-Annex I (developing),Middle third,True,1.938,1.752,-9.597523219814242,2.3219814241486114,63.34489559625975,61.34170196279919,-2.0031936334605547,6.139755693822508
COM,6,1.6295516849555418,Comoros,Non-Annex I (developing),Middle third,True,0.247,0.637,157.89473684210526,60.32388663967612,0.0,,,0.0
CPV,16,5.164517800536455,Cabo Verde,Non-Annex I (developing),High third,True,0.965,1.131,17.2020725388601,27.046632124352342,20.9301937605758,30.769238533693613,9.839044773117813,-2.7483649565264336
CRI,18,2.7399530010432027,Costa Rica,Non-Annex I (developing),Middle third,True,1.526,1.708,11.926605504587151,0.3931847968545288,98.97863732118547,99.90910731632472,0.9304699951392479,0.1456973491551281
CUB,9,2.9143175945501527,Cuba,Non-Annex I (developing),Middle third,True,2.58,2.226,-13.720930232558137,-22.209302325581394,4.413920477324066,4.014427980743856,-0.39949249658020936,-0.1144071248250178
CYP,8,2.0095005454608033,Cyprus,Annex I (developed),Middle third,True,5.701,5.374,-5.73583581827749,-0.14032625855112668,8.810567243961241,24.006913892109313,15.196346648148072,1.286512566750993
CZE,0,0.0,Czechia,Annex I (developed),Low third,False,9.976,7.044,-29.3905372894948,-4.07979149959904,43.94472135170835,57.68438110306113,13.739659751352775,3.080471940850245
DEU,4,0.9905575191558526,Germany,Annex I (developed),Middle third,True,9.757,6.769,-30.624167264528023,-13.077790304396842,43.795861797616176,58.64231604148462,14.846454243868443,8.902904051184422
DJI,13,4.847129008202834,Djibouti,Non-Annex I (developing),High third,True,0.495,0.483,-2.4242424242424288,0.20202020202020332,0.0,34.999941563526285,34.999941563526285,0.0
DMA,47,8.89949754239576,Dominica,Non-Annex I (developing),High third,True,2.497,2.58,3.323988786543852,1.5618742490989268,13.33333959369031,,,0.9523539060004982
DNK,14,4.006238501933791,Denmark,Annex I (developed),High third,True,6.177,4.746,-23.166585721223885,-13.825481625384484,65.77483828221199,89.18996284999685,23.415124567784858,12.77470238864099
DOM,1,0.2609603340292276,Dominican Republic,Non-Annex I (developing),Low third,True,2.203,2.899,31.5932818883341,18.610985020426707,7.88890157815133,18.85143267749693,10.9625310993456,4.658087944010729
DZA,2,0.60790273556231,Algeria,Non-Annex I (developing),Low third,True,4.006,4.234,5.691462805791314,5.1922116824763,0.3195632964375407,1.0689164989753908,0.74935320253785,0.7464872766409023
ECU,17,3.1506000045124183,Ecuador,Non-Annex I (developing),Middle third,True,2.539,2.535,-0.15754233950374674,-8.940527766837347,51.103370882747086,72.4433474559801,21.339976573233017,26.677844617569804
EGY,7,1.2402551381998583,Egypt,Non-Annex I (developing),Low third,True,2.276,2.217,-2.5922671353251214,-4.393673110720542,8.584937646899652,11.196781170870697,2.6118435239710447,1.1822011769704286
ERI,0,0.0,Eritrea,Non-Annex I (developing),Low third,False,0.18,0.21,16.666666666666675,10.555555555555562,0.0,11.111198409767672,11.111198409767672,12.499898743610721
ESP,5,1.1154936521631948,Spain,Annex I (developed),Middle third,True,5.789,4.599,-20.556227327690436,-8.706166868198295,55.66260015465221,76.74592750218883,21.083327347536624,3.2387713643185947
EST,3,0.7956255147266382,Estonia,Annex I (developed),Low third,True,12.004,6.105,-49.14195268243918,-22.850716427857385,15.369459110608362,55.75080410346512,40.38134499285676,12.751440338612364
ETH,7,2.4079910204077666,Ethiopia,Non-Annex I (developing),Middle third,True,0.121,0.135,11.570247933884303,22.314049586776854,99.99999999999999,99.99999999999999,0.0,-0.06501262454452217
FIN,9,3.826503683999409,Finland,Annex I (developed),High third,True,8.065,5.301,-34.271543707377546,-4.686918784872896,78.38507625163578,95.348274315047,16.963198063411213,2.871301812651893
FJI,23,4.973121683033965,Fiji,Non-Annex I (developing),High third,True,1.592,1.556,-2.261306532663321,3.6432160804019897,48.38709358798214,63.47826929724526,15.09117570926312,9.507660149889333
FRA,26,5.554276073658418,France,Annex I (developed),High third,True,5.116,3.969,-22.419859265050825,-5.942142298670827,92.18483620987332,94.89836001411098,2.713523804237653,-1.6646062590600081
FSM,38,8.553043573355733,Micronesia (Federated States of),Non-Annex I (developing),High third,True,1.314,1.331,1.2937595129375978,-1.3698630136986356,,,,
GAB,23,5.092289041871965,Gabon,Non-Annex I (developing),High third,True,2.828,2.126,-24.823196605374818,-12.553041018387557,43.39624457982578,35.3846123799368,-8.011632199888986,3.0826545261849247
GBR,13,3.0961318922865786,United Kingdom of Great Britain and Northern Ireland,Annex I (developed),High third,True,6.461,4.526,-29.948924315121506,-15.879894753134206,45.35662935691029,64.93173162525132,19.575102268341027,8.41029401569127
GEO,0,0.0,Georgia,Non-Annex I (developing),Low third,False,2.582,3.095,19.868319132455483,7.281177381874526,77.86047515604515,79.82772283127602,1.9672476752308654,-1.8065168982087414
GHA,10,1.6038989544725744,Ghana,Non-Annex I (developing),Middle third,True,0.508,0.611,20.27559055118109,3.34645669291338,49.914084475792045,36.21755498877954,-13.696529487012505,-7.601972276139691
GIN,11,3.477021747578994,Guinea,Non-Annex I (developing),High third,True,0.209,0.273,30.622009569377994,50.717703349282296,78.94736842105263,75.18599065653237,-3.7613777645202617,-15.0448270450091
GMB,7,1.3595485933690528,Gambia,Non-Annex I (developing),Low third,True,0.262,0.291,11.068702290076327,10.30534351145036,0.0,0.0,0.0,0.0
GNB,9,2.9914331806634653,Guinea-Bissau,Non-Annex I (developing),Middle third,True,0.086,0.155,80.23255813953489,51.162790697674446,0.0,0.0,0.0,0.0
GNQ,4,1.3433073570883824,Equatorial Guinea,Non-Annex I (developing),Low third,True,4.821,3.704,-23.169466915577676,-31.528728479568546,36.15387454411042,26.845622239806733,-9.30825230430369,-4.011064268661293
GRC,0,0.0,Greece,Annex I (developed),Low third,False,6.924,5.311,-23.295782784517627,-11.424032351242063,29.089130111763712,49.229145418334404,20.140015306570692,4.487522829754635
GRD,34,7.8575486590049355,Grenada,Non-Annex I (developing),High third,True,2.268,3.216,41.79894179894181,26.719576719576743,0.0,0.0,0.0,0.0
GTM,7,1.795686516448073,Guatemala,Non-Annex I (developing),Middle third,True,0.967,1.08,11.685625646328868,16.442605997931746,61.14590482727065,68.33439217583391,7.188487348563264,2.712416441373506
GUY,30,7.641365257259297,Guyana,Non-Annex I (developing),High third,True,2.588,5.427,109.6986089644513,26.545595054095816,3.960396039603961,2.8985236674523898,-1.061872372151571,-0.482155323574486
HND,8,1.991040318566451,Honduras,Non-Annex I (developing),Middle third,True,1.18,1.187,0.5932203389830581,-6.610169491525408,44.06213700528915,55.44872489939808,11.386587894108928,8.845958013376162
HRV,9,1.5449984141633102,Croatia,Annex I (developed),Middle third,True,4.253,4.765,12.03856101575358,5.102280743004939,66.90391856460741,73.44669526482869,6.542776700221282,-0.8960114333783906
HTI,4,1.0452855600478894,Haiti,Non-Annex I (developing),Low third,True,0.252,0.252,0.0,11.507936507936511,7.766811745233863,18.60481033798305,10.837998592749187,8.27073631607508
HUN,4,0.9694619486185168,Hungary,Annex I (developed),Low third,True,4.733,4.136,-12.61356433551658,6.296218043524182,62.809109559444664,73.63159084820995,10.822481288765289,-1.578068467263364
IDN,10,3.799575204910273,Indonesia,Non-Annex I (developing),High third,True,2.105,2.865,36.10451306413302,15.96199524940618,13.794817823175812,18.08954968785337,4.2947318646775585,2.465644719193161
IND,10,2.2947120440262774,India,Non-Annex I (developing),Middle third,True,1.681,2.201,30.933967876264123,11.838191552647226,17.548176063409905,22.493803394293636,4.945627330883731,2.8893089702708217
IRL,1,0.19936204146730463,Ireland,Annex I (developed),Low third,True,8.233,6.339,-23.004979958702787,-8.417344831774576,28.302552240131938,46.52509574171295,18.222543501581015,10.408171194998303
IRN,0,0.0,Iran (Islamic Republic of),Non-Annex I (developing),Low third,False,7.77,8.656,11.402831402831426,7.516087516087522,6.034126183208966,7.17550290083711,1.1413767176281437,6.986442120462885
IRQ,0,0.0,Iraq,Non-Annex I (developing),Low third,False,3.795,5.074,33.70223978919631,22.687747035573125,3.6948003851763467,1.6229247577666874,-2.0718756274096592,0.6624663084488249
ISL,15,4.167357448528117,Iceland,Annex I (developed),High third,True,10.699,9.667,-9.645761286101507,-7.944667725955689,100.0,100.0,0.0,0.0
ISR,1,0.12490632025980515,Israel,Non-Annex I (developing),Low third,True,7.815,5.607,-28.253358925143957,-12.872680742162512,1.8994249368072416,13.80597415722361,11.906549220416368,2.9279669011225113
ITA,4,0.9754343534283345,Italy,Annex I (developed),Middle third,True,5.964,5.088,-14.688128772635823,-5.298457411133484,38.93100260926515,50.171922675051626,11.240920065786476,1.0117515327550848
JAM,16,3.3799362468595815,Jamaica,Non-Annex I (developing),High third,True,2.843,2.959,4.080196975026373,17.58705592683785,10.280390966671446,12.601636337825626,2.3212453711541805,2.4351195868427116
JOR,0,0.0,Jordan,Non-Annex I (developing),Low third,False,2.703,2.01,-25.638179800221984,-14.835368109507952,1.206712560837653,24.081101540921466,22.874388980083815,13.211206654027102
JPN,2,0.49407114624505927,Japan,Annex I (developed),Low third,True,9.585,7.772,-18.914971309337513,-9.254042775169536,15.390431946229118,31.289176214783037,15.89874426855392,7.719174190794249
KAZ,5,1.115908056890788,Kazakhstan,Non-Annex I (developing),Low third,True,16.758,13.937,-16.833751044277356,-8.03795202291443,10.310961044332185,15.213900570062105,4.90293952572992,0.10414248574813989
KEN,15,2.7630801696644176,Kenya,Non-Annex I (developing),Middle third,True,0.323,0.376,16.408668730650145,9.907120743034037,89.80612582860927,91.47802476071311,1.6718989321038435,-1.1385053847042172
KGZ,11,2.005485491012362,Kyrgyzstan,Non-Annex I (developing),Middle third,True,1.71,1.638,-4.210526315789476,-18.53801169590643,85.06192338780858,88.77614954562252,3.7142261578139397,6.521250595096106
KHM,13,6.334469938707299,Cambodia,Non-Annex I (developing),High third,True,0.524,1.241,136.8320610687023,115.64885496183201,,,,
KIR,59,12.259193966914811,Kiribati,Non-Annex I (developing),High third,True,0.502,0.539,7.370517928286868,11.952191235059772,0.0,25.0,25.0,25.0
KNA,20,5.406111839439973,Saint Kitts and Nevis,Non-Annex I (developing),High third,True,4.9,5.542,13.102040816326511,13.020408163265307,4.545451625536736,8.695661033457938,4.150209407921202,-0.19761932247541303
KOR,17,3.763813643016298,Republic of Korea,Non-Annex I (developing),High third,True,12.439,11.286,-9.269233861242865,0.3376477208778761,32.85140600374179,39.8909479919803,7.039541988238504,-2.3606109852767787
KWT,2,0.5083884087442806,Kuwait,Non-Annex I (developing),Low third,True,24.337,26.248,7.852241443070218,-3.19677856761309,0.014641705179273027,2.238081221815913,2.22343951663664,0.11861840445382095
LAO,12,3.835033237470394,Lao People's Democratic Republic,Non-Annex I (developing),High third,True,1.35,3.14,132.5925925925926,87.70370370370368,86.01487018576158,76.71573691447269,-9.299133271288895,-22.538562667818653
LBN,2,0.6020469596628537,Lebanon,Non-Annex I (developing),Low third,True,3.975,2.696,-32.17610062893081,9.157232704402517,2.682395050642577,43.820236935495096,41.13784188485252,2.5051820116476406
LBR,3,1.2589793475007482,Liberia,Non-Annex I (developing),Low third,True,0.15,0.153,2.0000000000000018,23.33333333333334,0.0,54.38584398448116,54.38584398448116,30.952781246997795
LBY,1,0.24330900243309003,Libya,Non-Annex I (developing),Low third,True,9.318,8.842,-5.108392358875291,13.90856406954284,0.0266601516755409,0.028913828043596504,0.002253676368055603,0.0022239002330546216
LCA,6,1.928721174004193,Saint Lucia,Non-Annex I (developing),Middle third,True,2.744,2.987,8.855685131195322,2.951895043731767,0.0,2.5000213454269784,2.5000213454269784,2.380971518279159
LIE,0,0.0,Liechtenstein,Annex I (developed),Low third,False,4.266,3.299,-22.66760431317394,-9.399906235349265,,,,
LKA,2,1.0245901639344261,Sri Lanka,Non-Annex I (developing),Low third,True,0.883,0.901,2.0385050962627327,6.681766704416758,48.7509787536436,55.24310175178352,6.492122998139919,-14.977724612329403
LSO,14,3.290066359610724,Lesotho,Non-Annex I (developing),Middle third,True,0.971,1.1,13.28527291452113,1.9567456230690006,100.0,,,0.0
LTU,1,0.6765899864682002,Lithuania,Annex I (developed),Low third,True,4.489,4.387,-2.272220984629103,8.777010470037872,39.71631985184005,84.30312320338236,44.58680335154231,34.23576418060603
LUX,8,1.444246480186245,Luxembourg,Annex I (developed),Middle third,True,16.389,10.46,-36.1767038867533,-4.069802916590392,32.08954018572104,90.72846767058384,58.6389274848628,42.67679599574327
LVA,11,3.621565760340401,Latvia,Annex I (developed),High third,True,3.672,3.452,-5.991285403050117,8.605664488017428,50.18050773512774,73.45972573054833,23.279217995420588,-0.6463523370731608
MAR,18,4.778057022043561,Morocco,Non-Annex I (developing),High third,True,1.69,1.814,7.337278106508882,12.307692307692308,16.081600349894302,24.410392927679,8.328792577784697,3.7054386965341948
MCO,26,7.507130735580825,Monaco,Annex I (developed),High third,True,,,,,,,,
MDA,11,2.3305047924433206,Republic of Moldova,Non-Annex I (developing),Middle third,True,1.456,1.755,20.535714285714278,18.681318681318682,4.47022174232958,10.708387561930598,6.238165819601019,2.0324072512133586
MDG,14,3.661809021034462,Madagascar,Non-Annex I (developing),High third,True,0.123,0.142,15.4471544715447,19.512195121951216,54.18969019446299,42.38697202088896,-11.802718173574029,-15.72771231309931
MDV,15,4.20230252693994,Maldives,Non-Annex I (developing),High third,True,2.995,4.369,45.87646076794656,36.46076794657762,1.6128709240566035,7.058812571602434,5.445941647545831,2.090857311444368
MEX,8,2.52356444942808,Mexico,Non-Annex I (developing),Middle third,True,3.96,3.523,-11.035353535353531,-5.984848484848493,19.274393224382827,24.581889832534866,5.307496608152039,0.6605955851663623
MHL,18,4.9723783714278085,Marshall Islands,Non-Annex I (developing),High third,True,2.927,4.112,40.485138366928595,13.734198838401102,,,,
MKD,6,1.0580638327534817,North Macedonia,Non-Annex I (developing),Low third,True,3.393,3.631,7.014441497200119,18.420277040966692,35.92920174075923,39.46117448153962,3.5319727407803896,-13.101267530458365
MLI,11,2.5658129467146233,Mali,Non-Annex I (developing),Middle third,True,0.183,0.285,55.73770491803278,45.35519125683061,48.2069971925302,19.46294942458867,-28.744047767941534,-9.886723357793223
MLT,11,2.2615131578947367,Malta,Annex I (developed),Middle third,True,3.815,3.204,-16.01572739187418,-14.233289646133684,7.692299793290623,15.525107854657579,7.832808061366956,2.452635506276824
MMR,6,1.3869625520110958,Myanmar,Non-Annex I (developing),Middle third,True,0.428,0.58,35.51401869158879,49.29906542056075,59.50620165061986,47.858154176749984,-11.648047473869873,-3.24325943556655
MNE,14,3.3003594450880787,Montenegro,Non-Annex I (developing),Middle third,True,3.564,3.722,4.433221099887774,13.608305274971944,49.66666443326253,59.490079759482576,9.823415326220044,6.601554177584553
MNG,14,2.7270324930648973,Mongolia,Non-Annex I (developing),Middle third,True,7.821,12.86,64.4291011379619,86.395601585475,3.99276125651622,8.843519454757669,4.850758198241449,5.9495868910006156
MOZ,3,1.1932520215798295,Mozambique,Non-Annex I (developing),Low third,True,0.254,0.249,-1.9685039370078705,-6.692913385826782,92.98150336105566,83.42593548590318,-9.555567875152477,-13.62391526193204
MRT,4,1.1723329425556859,Mauritania,Non-Annex I (developing),Low third,True,0.757,1.013,33.81770145310434,36.45970937912813,27.586336580179086,22.705421381354682,-4.880915198824404,2.349920213879134
MUS,19,3.86199754229494,Mauritius,Non-Annex I (developing),High third,True,3.258,3.677,12.86065070595457,7.980356046654391,22.742492117723078,17.88855069681443,-4.853941420908647,-1.0706531633681031
MWI,9,2.6833631484794274,Malawi,Non-Annex I (developing),Middle third,True,0.061,0.087,42.622950819672134,45.9016393442623,94.00903880070547,95.62871275412397,1.6196739534184985,2.102283709018863
MYS,9,2.5832376578645238,Malaysia,Non-Annex I (developing),Middle third,True,7.554,8.162,8.048715912099546,9.915276674609474,9.952694101701855,20.366438529493376,10.41374442779152,6.181761411545583
NAM,13,3.7790697674418605,Namibia,Non-Annex I (developing),High third,True,1.429,1.145,-19.8740377886634,-1.5395381385584384,97.46836013692825,97.56093505188163,0.09257491495337433,-1.0914817373707706
NER,15,3.14136938158655,Niger,Non-Annex I (developing),Middle third,True,0.11,0.117,6.363636363636371,0.0,1.8536297171553064,3.158523745838432,1.3048940286831257,1.1329784960172802
NGA,15,3.966265767087122,Nigeria,Non-Annex I (developing),High third,True,0.58,0.584,0.6896551724137945,5.1724137931034475,19.505759812374976,25.0,5.494240187625024,3.8347555715774497
NIC,11,3.8493532441406844,Nicaragua,Non-Annex I (developing),High third,True,0.879,0.814,-7.394766780432316,-8.646188850967008,50.10892107843925,62.389372406448544,12.280451328009292,6.8779318118155715
NLD,12,2.361033989357752,Netherlands (Kingdom of the),Annex I (developed),Middle third,True,9.584,6.297,-34.296744574290486,-9.129799666110184,16.304246311794675,53.658138612043714,37.35389230024904,5.944819839873688
NOR,11,3.5412063862603693,Norway,Annex I (developed),High third,True,8.772,6.668,-23.985408116735062,-8.61833105335158,97.9510506775907,98.60607374575105,0.6550230681603466,-0.013370162149684006
NPL,7,1.3724444690580762,Nepal,Non-Annex I (developing),Low third,True,0.248,0.633,155.24193548387095,81.0483870967742,100.0,100.0,0.0,0.0
NRU,32,9.359804520464264,Naoero,Non-Annex I (developing),High third,True,5.008,5.13,2.436102236421722,-11.761182108626212,0.0,19.999990425598888,19.999990425598888,0.0
NZL,2,0.5072953226395684,New Zealand,Annex I (developed),Low third,True,7.76,6.229,-19.729381443298966,-5.180412371134024,80.07803299993391,85.98045618968085,5.902423189746941,2.344829012261471
OMN,1,0.3834355828220859,Oman,Non-Annex I (developing),Low third,True,16.221,15.651,-3.513963380802665,-3.273534307379322,0.0,4.887986138480947,4.887986138480947,0.15427726273318676
PAK,1,0.28735632183908044,Pakistan,Non-Annex I (developing),Low third,True,0.667,0.716,7.346326836581696,23.988005997001483,37.485599355775854,50.27437688943781,12.788777533661957,-0.5514862553466386
PAN,7,1.6469214993728483,Panama,Non-Annex I (developing),Middle third,True,2.69,2.805,4.275092936802971,9.293680297397767,65.33981138698502,67.98212330174225,2.6423119147572294,-12.590677244547813
PER,6,2.4854950402395657,Peru,Non-Annex I (developing),Middle third,True,1.615,2.053,27.120743034055717,11.950464396284843,52.724273831953795,60.11131618343854,7.3870423514847445,7.817327692655638
PHL,12,2.8269790174552076,Philippines,Non-Annex I (developing),Middle third,True,1.054,1.51,43.26375711574953,22.10626185958253,25.412624771545058,20.471957577182437,-4.9406671943626215,-4.6260086983343385
PLW,26,6.413535920115881,Palau,Non-Annex I (developing),High third,True,11.327,12.76,12.65118742826874,7.0892557605720885,,,,
PNG,25,6.804262490145602,Papua New Guinea,Non-Annex I (developing),High third,True,0.722,0.789,9.279778393351812,9.279778393351812,31.34657623611792,23.678661589340297,-7.667914646777621,-4.94468137402302
POL,8,1.7510577630610742,Poland,Annex I (developed),Middle third,True,8.168,7.08,-13.320274240940243,1.66503428011755,13.810108734081519,31.14687733215169,17.336768598070172,1.788472210309921
PRK,0,0.0,Democratic People's Republic of Korea,Non-Annex I (developing),Low third,False,1.223,2.36,92.96811120196236,118.31561733442354,52.45641174602961,63.35789933772504,10.901487591695428,-6.05773936009691
PRT,6,1.9397614715989486,Portugal,Annex I (developed),Middle third,True,5.037,3.409,-32.32082588842565,-8.675799086757996,47.63394146255999,85.19145527534722,37.557513812787235,5.486212033978333
PRY,8,2.0865278866152828,Paraguay,Non-Annex I (developing),Middle third,True,0.982,1.145,16.598778004073324,29.22606924643585,100.0,100.00000000000001,1.4210854715202004e-14,0.0
PSE,0,0.0,State of Palestine,Non-Annex I (developing),Low third,False,0.664,0.87,31.024096385542155,-0.9036144578313254,1.9233946350158688,39.394057141588355,37.47066250657249,12.891238824608683
QAT,0,0.0,Qatar,Non-Annex I (developing),Low third,False,38.441,41.271,7.361931271298872,-5.694440831403968,0.3122773201256806,4.022581608400154,3.7103042882744734,-0.05227715113088682
ROU,6,2.002416735229141,Romania,Annex I (developed),Middle third,True,3.928,3.605,-8.223014256619143,0.1272912423625261,57.61499375058635,67.2040930051379,9.589099254551556,3.498014634479496
RUS,12,2.168036218533202,Russian Federation,Annex I (developed),Middle third,True,11.254,12.295,9.250044428647586,3.358805757952732,34.13704526633807,35.9353689297449,1.7983236634068263,2.101949781212184
RWA,4,2.932551319648094,Rwanda,Non-Annex I (developing),Middle third,True,0.083,0.143,72.28915662650599,33.734939759036145,56.86310311772493,49.5571648457016,-7.305938272023333,-6.274655627081479
SAU,3,1.2165450121654502,Saudi Arabia,Non-Annex I (developing),Low third,True,20.836,20.379,-2.1933192551353287,11.561720099827234,0.01425912802183664,2.159948544907044,2.145689416885207,0.043860984193449276
